Status,Start Time,Stop Time,Duration in ms,Parent Suite,Suite,Sub Suite,Test Class,Test Method,Name,Description
passed,Mon Oct 16 20:21:35 IDT 2023,Mon Oct 16 20:21:37 IDT 2023,1797,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test15_Place_order_button,Test15_Place_order_button,"""Place Order Button"""
passed,Mon Oct 16 20:21:21 IDT 2023,Mon Oct 16 20:21:35 IDT 2023,8805,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test14_Add_Products_To_Cart,Test14_Add_Products_To_Cart,"""Adding products to shopping cart"""
passed,Mon Oct 16 20:21:19 IDT 2023,Mon Oct 16 20:21:21 IDT 2023,2095,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test13_Contact_Form_Test,Test13_Contact_Form_Test,"""Contact Us Form Test"""
passed,Mon Oct 16 20:21:18 IDT 2023,Mon Oct 16 20:21:19 IDT 2023,1465,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test12_Signup_Link_Test,Test12_Signup_Link_Test,"""Signup Button Link Test"""
passed,Mon Oct 16 20:21:17 IDT 2023,Mon Oct 16 20:21:18 IDT 2023,1215,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test11_Login_Link_Test,Test11_Login_Link_Test,"""Login Button Link Test"""
passed,Mon Oct 16 20:21:15 IDT 2023,Mon Oct 16 20:21:17 IDT 2023,1875,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test10_Cart_Link_Test,Test10_Cart_Link_Test,"""Cart Button Link Test"""
passed,Mon Oct 16 20:21:13 IDT 2023,Mon Oct 16 20:21:15 IDT 2023,1260,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test09_Aboutus_Link_Test,Test09_Aboutus_Link_Test,"""About Us Button Link Test"""
passed,Mon Oct 16 20:21:12 IDT 2023,Mon Oct 16 20:21:13 IDT 2023,1216,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test08_Contact_Link_Test,Test08_Contact_Link_Test,"""Contact Button Link Test"""
passed,Mon Oct 16 20:21:11 IDT 2023,Mon Oct 16 20:21:12 IDT 2023,153,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test06_Monitor_Products_Filter,Test06_Monitor_Products_Filter,"""Verify that only Laptops products are displayed"""
passed,Mon Oct 16 20:21:12 IDT 2023,Mon Oct 16 20:21:12 IDT 2023,556,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test07_Home_Button_Test,Test07_Home_Button_Test,"""Home Button Link Test"""
passed,Mon Oct 16 20:21:11 IDT 2023,Mon Oct 16 20:21:11 IDT 2023,114,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test03_Button_Monitors,Test03_Button_Monitors,"""Monitors category filter button  test"""
passed,Mon Oct 16 20:21:11 IDT 2023,Mon Oct 16 20:21:11 IDT 2023,147,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test05_Laptop_Products_Filter,Test05_Laptop_Products_Filter,"""Verify that only Laptops products are displayed"""
passed,Mon Oct 16 20:21:11 IDT 2023,Mon Oct 16 20:21:11 IDT 2023,209,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test01_Button_Phones,Test01_Button_Phones,"""Phones category filter Button test"""
passed,Mon Oct 16 20:21:11 IDT 2023,Mon Oct 16 20:21:11 IDT 2023,117,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test02_Button_Laptops,Test02_Button_Laptops,"""Laptops category filter button test"""
passed,Mon Oct 16 20:21:11 IDT 2023,Mon Oct 16 20:21:11 IDT 2023,149,Default Suite,HomeWorkMaven,Demoblaze.Testing_Class,Demoblaze.Testing_Class,Test04_Phones_Products_Filter,Test04_Phones_Products_Filter,"""Verify that only Phones products are displayed"""
